feature,coefficient,main_effect,abs_main_effect
2,-0.048520669315544815,0.09704133863108963,0.09704133863108963
9,-0.04580520034361661,0.09161040068723322,0.09161040068723322
8,-0.04559907471199558,0.09119814942399115,0.09119814942399115
4,-0.03939868815170093,0.07879737630340186,0.07879737630340186
5,-0.03814089667472735,0.0762817933494547,0.0762817933494547
7,-0.0351747827523156,0.0703495655046312,0.0703495655046312
6,-0.031119670470766955,0.06223934094153391,0.06223934094153391
1,-0.02889976930638631,0.05779953861277262,0.05779953861277262
3,-0.027595262104719673,0.055190524209439346,0.055190524209439346
10,-0.025841852750923586,0.05168370550184717,0.05168370550184717
11,-0.021689779374506266,0.04337955874901253,0.04337955874901253
12,-0.01693746698701097,0.03387493397402194,0.03387493397402194
14,-0.00781814954010833,0.01563629908021666,0.01563629908021666
16,-0.007700994345933132,0.015401988691866264,0.015401988691866264
13,-0.0048995569498317265,0.009799113899663453,0.009799113899663453
15,-0.004890667144800964,0.009781334289601928,0.009781334289601928
