feature,coefficient,main_effect,abs_main_effect
13,-0.008210088148807918,0.016420176297615836,0.016420176297615836
1,-0.00601105466460489,0.01202210932920978,0.01202210932920978
5,0.0054351975805455,-0.010870395161091,0.010870395161091
19,0.004015876890043513,-0.008031753780087025,0.008031753780087025
4,-0.0037016974951532035,0.007403394990306407,0.007403394990306407
9,0.002822249067384982,-0.005644498134769964,0.005644498134769964
17,0.0026961953372572345,-0.005392390674514469,0.005392390674514469
3,-0.002662405808614713,0.005324811617229426,0.005324811617229426
10,0.0022839548185581947,-0.004567909637116389,0.004567909637116389
8,-0.002149036332803226,0.004298072665606452,0.004298072665606452
12,-0.0019622004564828245,0.003924400912965649,0.003924400912965649
18,-0.0018872377742629731,0.0037744755485259462,0.0037744755485259462
2,-0.0018549418445493217,0.0037098836890986434,0.0037098836890986434
11,0.0017954550122065115,-0.003590910024413023,0.003590910024413023
7,0.0017387112932917802,-0.0034774225865835603,0.0034774225865835603
14,-0.001154155299609775,0.00230831059921955,0.00230831059921955
6,-0.0010948288287911424,0.002189657657582285,0.002189657657582285
16,0.0009363385757476528,-0.0018726771514953056,0.0018726771514953056
15,0.0007896067971339647,-0.0015792135942679295,0.0015792135942679295
