feature,coefficient,main_effect,abs_main_effect
5,0.05543338559588824,-0.11086677119177649,0.11086677119177649
19,0.054014064905386266,-0.10802812981077253,0.10802812981077253
9,0.052820437082727725,-0.10564087416545545,0.10564087416545545
17,0.05269438335259998,-0.10538876670519996,0.10538876670519996
10,0.05228214283390094,-0.10456428566780188,0.10456428566780188
11,0.051793643027549255,-0.10358728605509851,0.10358728605509851
7,0.051736899308634524,-0.10347379861726905,0.10347379861726905
16,0.0509345265910904,-0.1018690531821808,0.1018690531821808
15,0.050787794812476715,-0.10157558962495343,0.10157558962495343
6,0.0489033591865516,-0.0978067183731032,0.0978067183731032
14,0.04884403271573297,-0.09768806543146594,0.09768806543146594
2,0.04814324617079342,-0.09628649234158684,0.09628649234158684
18,0.04811095024107977,-0.09622190048215953,0.09622190048215953
12,0.04803598755885992,-0.09607197511771984,0.09607197511771984
8,0.04784915168253952,-0.09569830336507903,0.09569830336507903
3,0.04733578220672803,-0.09467156441345606,0.09467156441345606
4,0.04629649052018954,-0.09259298104037908,0.09259298104037908
1,0.04398713335073785,-0.0879742667014757,0.0879742667014757
13,0.041788099866534825,-0.08357619973306965,0.08357619973306965
