feature,coefficient,main_effect,abs_main_effect
4,-0.007885678785209727,0.015771357570419454,0.015771357570419454
9,-0.006099874034811936,0.012199748069623872,0.012199748069623872
7,-0.005253708103959628,0.010507416207919257,0.010507416207919257
8,-0.003563775794868551,0.007127551589737102,0.007127551589737102
3,-0.002881978053887559,0.005763956107775118,0.005763956107775118
2,-0.002115607841228319,0.004231215682456638,0.004231215682456638
6,-0.001469525389661261,0.002939050779322522,0.002939050779322522
5,-0.0012295531316745996,0.002459106263349199,0.002459106263349199
1,-0.0004423534239727982,0.0008847068479455964,0.0008847068479455964
