feature,coefficient,main_effect,abs_main_effect
6,0.05477322339006358,-0.10954644678012716,0.10954644678012716
10,0.05336226388239747,-0.10672452776479494,0.10672452776479494
2,0.052757602509834474,-0.10551520501966895,0.10551520501966895
1,0.05064537530247188,-0.10129075060494376,0.10129075060494376
12,0.04548329718195172,-0.09096659436390345,0.09096659436390345
11,0.040670331584940225,-0.08134066316988045,0.08134066316988045
16,0.03999588963428987,-0.07999177926857974,0.07999177926857974
14,0.03962049389715257,-0.07924098779430513,0.07924098779430513
5,0.03956079380181771,-0.07912158760363543,0.07912158760363543
3,0.0352260947339776,-0.0704521894679552,0.0704521894679552
13,0.03333012716588864,-0.06666025433177727,0.06666025433177727
9,0.032830529686313906,-0.06566105937262781,0.06566105937262781
7,0.03214448848225156,-0.06428897696450311,0.06428897696450311
4,0.032125156298340965,-0.06425031259668193,0.06425031259668193
15,0.030789666250845858,-0.061579332501691716,0.061579332501691716
8,0.0292850562238048,-0.0585701124476096,0.0585701124476096
