feature,coefficient,main_effect,abs_main_effect
4,0.050453623735273664,-0.10090724747054733,0.10090724747054733
15,0.05042671615262277,-0.10085343230524554,0.10085343230524554
14,0.04999027255359449,-0.09998054510718898,0.09998054510718898
3,0.049360929395669315,-0.09872185879133863,0.09872185879133863
11,0.049174202868351655,-0.09834840573670331,0.09834840573670331
12,0.04909994287697243,-0.09819988575394487,0.09819988575394487
9,0.04874220707676485,-0.0974844141535297,0.0974844141535297
13,0.04855688794884243,-0.09711377589768486,0.09711377589768486
2,0.04659049959115562,-0.09318099918231124,0.09318099918231124
10,0.04546236595012359,-0.09092473190024718,0.09092473190024718
8,0.04502267082386296,-0.09004534164772592,0.09004534164772592
6,0.04105615845434711,-0.08211231690869422,0.08211231690869422
1,0.04074623351731914,-0.08149246703463828,0.08149246703463828
5,0.03896280250443722,-0.07792560500887444,0.07792560500887444
7,-0.012633081849009074,0.025266163698018148,0.025266163698018148
