feature,coefficient,main_effect,abs_main_effect
15,0.04509712563768168,-0.09019425127536336,0.09019425127536336
13,0.045088235832650904,-0.09017647166530181,0.09017647166530181
16,0.04228679843654952,-0.08457359687309904,0.08457359687309904
14,0.0421696432423743,-0.0843392864847486,0.0843392864847486
12,0.03305032579547166,-0.06610065159094332,0.06610065159094332
11,0.028298013407976372,-0.056596026815952744,0.056596026815952744
10,0.02414594003155905,-0.0482918800631181,0.0482918800631181
3,0.022392530677762965,-0.04478506135552593,0.04478506135552593
1,0.021088023476096326,-0.04217604695219265,0.04217604695219265
6,0.018868122311715682,-0.037736244623431364,0.037736244623431364
7,0.014813010030167042,-0.029626020060334084,0.029626020060334084
5,0.01184689610775529,-0.02369379221551058,0.02369379221551058
4,0.01058910463078171,-0.02117820926156342,0.02117820926156342
8,0.004388718070487064,-0.008777436140974128,0.008777436140974128
9,0.004182592438866029,-0.008365184877732058,0.008365184877732058
2,0.0014671234669378266,-0.002934246933875653,0.002934246933875653
