feature,coefficient,main_effect,abs_main_effect
7,-0.06261019296690208,0.12522038593380416,0.12522038593380416
5,-0.01101430861345577,0.02202861722691154,0.02202861722691154
1,-0.00923087760057385,0.0184617552011477,0.0184617552011477
6,-0.008920952663545877,0.017841905327091755,0.017841905327091755
8,-0.004954440294030038,0.009908880588060076,0.009908880588060076
10,-0.004514745167769407,0.009029490335538813,0.009029490335538813
2,-0.003386611526737371,0.006773223053474742,0.006773223053474742
13,-0.0014202231690505634,0.002840446338101127,0.002840446338101127
9,-0.0012349040411281488,0.0024698080822562977,0.0024698080822562977
12,-0.0008771682409205589,0.0017543364818411178,0.0017543364818411178
11,-0.0008029082495413335,0.001605816499082667,0.001605816499082667
3,-0.0006161817222236745,0.001232363444447349,0.001232363444447349
4,0.0004765126173806753,-0.0009530252347613506,0.0009530252347613506
15,0.0004496050347297942,-0.0008992100694595884,0.0008992100694595884
14,1.316143570151418e-5,-2.632287140302836e-5,2.632287140302836e-5
